payment_id,order_id,amount_gross,method,captured_at,settlement_id,settlement_utr,settled_at,fee_mdr,fee_gst,amount_settled,status,refund_amount
pay_0038,ord_0037,49323.99,netbanking,2026-03-05,setl_0239,SBIN904966319314,2026-04-20,12.00,2.16,49309.83,captured,0.00
pay_0040,ord_0039,28577.99,card,2026-04-17,setl_0239,SBIN904966319314,2026-04-20,643.00,115.74,27819.25,captured,0.00
pay_0042,ord_0041,33892.75,upi,2026-02-19,setl_0241,SBIN905865185067,2026-04-13,2.00,0.36,33890.39,captured,0.00
pay_0044,ord_0043,41620.25,netbanking,2026-02-21,setl_0241,SBIN905865185067,2026-04-13,12.00,2.16,41606.09,captured,0.00
pay_0046,ord_0045,25716.75,netbanking,2026-02-10,setl_0241,SBIN905865185067,2026-04-13,12.00,2.16,25702.59,captured,0.00
pay_0048,ord_0047,36756.00,netbanking,2026-03-06,setl_0241,SBIN905865185067,2026-04-13,12.00,2.16,36741.84,captured,0.00
pay_0050,ord_0049,49709.50,netbanking,2026-04-11,setl_0241,SBIN905865185067,2026-04-13,12.00,2.16,49695.34,captured,0.00
pay_0052,ord_0051,28992.25,card,2026-03-11,setl_0243,UTIB572628498776,2026-03-23,652.33,117.42,28222.50,captured,0.00
pay_0054,ord_0053,33306.25,netbanking,2026-03-07,setl_0243,UTIB572628498776,2026-03-23,12.00,2.16,33292.09,captured,0.00
pay_0056,ord_0055,42374.99,netbanking,2026-03-12,setl_0243,UTIB572628498776,2026-03-23,12.00,2.16,42360.83,captured,0.00
pay_0058,ord_0057,11087.99,netbanking,2026-03-21,setl_0243,UTIB572628498776,2026-03-23,12.00,2.16,11073.83,captured,0.00
pay_0060,ord_0059,32521.00,upi,2026-03-15,setl_0243,UTIB572628498776,2026-03-23,2.00,0.36,32518.64,captured,0.00
pay_0062,ord_0061,4296.25,netbanking,2026-03-04,setl_0245,ICIC531473799650,2026-04-06,12.00,2.16,4282.09,captured,0.00
pay_0064,ord_0063,5035.99,upi,2026-04-05,setl_0245,ICIC531473799650,2026-04-06,2.00,0.36,5033.63,captured,0.00
pay_0066,ord_0065,36531.25,card,2026-04-03,setl_0245,ICIC531473799650,2026-04-06,821.95,147.95,35561.35,captured,0.00
pay_0068,ord_0067,14380.99,netbanking,2026-03-28,setl_0245,ICIC531473799650,2026-04-06,12.00,2.16,14366.83,captured,0.00
pay_0070,ord_0069,26648.50,card,2026-03-13,setl_0245,ICIC531473799650,2026-04-06,599.59,107.93,25940.98,captured,0.00
pay_0072,ord_0071,16746.25,upi,2026-02-17,setl_0247,ICIC273545494808,2026-04-20,2.00,0.36,16743.89,captured,0.00
pay_0074,ord_0073,36801.25,netbanking,2026-04-18,setl_0247,ICIC273545494808,2026-04-20,12.00,2.16,36787.09,captured,0.00
pay_0076,ord_0075,46889.00,upi,2026-02-11,setl_0247,ICIC273545494808,2026-04-20,2.00,0.36,46886.64,captured,0.00
pay_0078,ord_0077,5143.99,upi,2026-03-16,setl_0247,ICIC273545494808,2026-04-20,2.00,0.36,5141.63,captured,0.00
pay_0080,ord_0079,14540.99,upi,2026-04-05,setl_0247,ICIC273545494808,2026-04-20,2.00,0.36,14538.63,captured,0.00
pay_0082,ord_0081,16425.75,card,2026-04-03,setl_0249,SBIN367837770143,2026-04-06,369.58,66.52,15989.65,captured,0.00
pay_0084,ord_0083,43687.75,card,2026-02-14,setl_0249,SBIN367837770143,2026-04-06,982.97,176.93,42527.85,captured,0.00
pay_0086,ord_0085,48280.00,netbanking,2026-04-02,setl_0249,SBIN367837770143,2026-04-06,12.00,2.16,48265.84,captured,0.00
pay_0088,ord_0087,48224.50,upi,2026-03-25,setl_0249,SBIN367837770143,2026-04-06,2.00,0.36,48222.14,captured,0.00
pay_0090,ord_0089,35646.75,upi,2026-02-26,setl_0249,SBIN367837770143,2026-04-06,2.00,0.36,35644.39,captured,0.00
pay_0092,ord_0091,30818.25,upi,2026-03-09,setl_0251,HDFC495788568557,2026-04-02,2.00,0.36,30815.89,captured,0.00
pay_0094,ord_0093,3815.99,upi,2026-02-14,setl_0251,HDFC495788568557,2026-04-02,2.00,0.36,3813.63,captured,0.00
pay_0096,ord_0095,27134.75,card,2026-02-23,setl_0251,HDFC495788568557,2026-04-02,610.53,109.90,26414.32,captured,0.00
pay_0098,ord_0097,11289.75,upi,2026-02-09,setl_0251,HDFC495788568557,2026-04-02,2.00,0.36,11287.39,captured,0.00
pay_0100,ord_0099,19194.75,netbanking,2026-04-01,setl_0251,HDFC495788568557,2026-04-02,12.00,2.16,19180.59,captured,0.00
pay_0102,ord_0101,10644.25,card,2026-04-05,setl_0253,ICIC431351823374,2026-04-20,239.50,43.11,10361.64,captured,0.00
pay_0104,ord_0103,48717.99,upi,2026-04-17,setl_0253,ICIC431351823374,2026-04-20,2.00,0.36,48715.63,captured,0.00
pay_0106,ord_0105,38784.75,netbanking,2026-02-08,setl_0253,ICIC431351823374,2026-04-20,12.00,2.16,38770.59,captured,0.00
pay_0108,ord_0107,33781.00,upi,2026-02-09,setl_0253,ICIC431351823374,2026-04-20,2.00,0.36,33778.64,captured,0.00
pay_0110,ord_0109,44750.25,card,2026-02-10,setl_0253,ICIC431351823374,2026-04-20,1006.88,181.24,43562.13,captured,0.00
pay_0112,ord_0111,38440.99,upi,2026-03-05,setl_0255,KKBK941343524082,2026-03-30,2.00,0.36,38438.63,captured,0.00
pay_0114,ord_0113,43581.99,netbanking,2026-03-27,setl_0255,KKBK941343524082,2026-03-30,12.00,2.16,43567.83,captured,0.00
pay_0116,ord_0115,13886.50,upi,2026-03-07,setl_0255,KKBK941343524082,2026-03-30,2.00,0.36,13884.14,captured,0.00
pay_0118,ord_0117,44519.50,card,2026-02-18,setl_0255,KKBK941343524082,2026-03-30,1001.69,180.30,43337.51,captured,0.00
pay_0120,ord_0119,30534.99,netbanking,2026-02-03,setl_0255,KKBK941343524082,2026-03-30,12.00,2.16,30520.83,captured,0.00
pay_0122,ord_0121,14469.99,card,2026-04-11,setl_0257,SBIN084271094777,2026-04-14,325.57,58.60,14085.82,captured,0.00
pay_0124,ord_0123,16509.50,card,2026-02-10,setl_0257,SBIN084271094777,2026-04-14,371.46,66.86,16071.18,captured,0.00
pay_0126,ord_0125,46607.50,netbanking,2026-04-12,setl_0257,SBIN084271094777,2026-04-14,12.00,2.16,46593.34,captured,0.00
pay_0128,ord_0127,20120.00,upi,2026-04-13,setl_0257,SBIN084271094777,2026-04-14,2.00,0.36,20117.64,captured,0.00
pay_0130,ord_0129,49155.99,upi,2026-02-15,setl_0257,SBIN084271094777,2026-04-14,2.00,0.36,49153.63,captured,0.00
pay_0132,ord_0131,14303.50,upi,2026-04-20,setl_0259,HDFC047116719022,2026-04-21,2.00,0.36,14301.14,captured,0.00
pay_0134,ord_0133,16957.00,upi,2026-04-05,setl_0259,HDFC047116719022,2026-04-21,2.00,0.36,16954.64,captured,0.00
pay_0136,ord_0135,732.50,upi,2026-02-07,setl_0259,HDFC047116719022,2026-04-21,2.00,0.36,730.14,captured,0.00
pay_0138,ord_0137,36654.75,netbanking,2026-03-30,setl_0259,HDFC047116719022,2026-04-21,12.00,2.16,36640.59,captured,0.00
pay_0140,ord_0139,45786.25,netbanking,2026-02-11,setl_0259,HDFC047116719022,2026-04-21,12.00,2.16,45772.09,captured,0.00
pay_0142,ord_0141,36710.25,card,2026-04-17,setl_0261,ICIC131869993867,2026-04-23,825.98,148.68,35735.59,captured,0.00
pay_0144,ord_0143,24397.00,card,2026-03-13,setl_0261,ICIC131869993867,2026-04-23,548.93,98.81,23749.26,captured,0.00
pay_0146,ord_0145,44208.00,card,2026-03-05,setl_0261,ICIC131869993867,2026-04-23,994.68,179.04,43034.28,captured,0.00
pay_0148,ord_0147,49617.25,upi,2026-04-22,setl_0261,ICIC131869993867,2026-04-23,2.00,0.36,49614.89,captured,0.00
pay_0150,ord_0149,2124.25,netbanking,2026-03-26,setl_0261,ICIC131869993867,2026-04-23,12.00,2.16,2110.09,captured,0.00
pay_0152,ord_0151,17985.25,netbanking,2026-03-05,setl_0263,ICIC964990913341,2026-04-09,12.00,2.16,17971.09,captured,0.00
pay_0154,ord_0153,31347.25,upi,2026-02-06,setl_0263,ICIC964990913341,2026-04-09,2.00,0.36,31344.89,captured,0.00
pay_0156,ord_0155,15415.25,upi,2026-03-13,setl_0263,ICIC964990913341,2026-04-09,2.00,0.36,15412.89,captured,0.00
pay_0158,ord_0157,18758.00,card,2026-03-16,setl_0263,ICIC964990913341,2026-04-09,422.06,75.97,18259.97,captured,0.00
pay_0160,ord_0159,26693.99,card,2026-04-08,setl_0263,ICIC964990913341,2026-04-09,600.61,108.11,25985.27,captured,0.00
pay_0162,ord_0161,12202.99,card,2026-03-07,setl_0265,HDFC281206797403,2026-04-21,274.57,49.42,11879.00,captured,0.00
pay_0164,ord_0163,28979.50,netbanking,2026-04-19,setl_0265,HDFC281206797403,2026-04-21,12.00,2.16,28965.34,captured,0.00
pay_0166,ord_0165,34016.00,card,2026-04-20,setl_0265,HDFC281206797403,2026-04-21,765.36,137.76,33112.88,captured,0.00
pay_0168,ord_0167,3408.75,upi,2026-03-06,setl_0265,HDFC281206797403,2026-04-21,2.00,0.36,3406.39,captured,0.00
pay_0170,ord_0169,24369.75,upi,2026-02-27,setl_0265,HDFC281206797403,2026-04-21,2.00,0.36,24367.39,captured,0.00
pay_0172,ord_0171,43975.00,netbanking,2026-03-14,setl_0267,ICIC713493618324,2026-03-26,12.00,2.16,43960.84,captured,0.00
pay_0174,ord_0173,44205.75,card,2026-03-13,setl_0267,ICIC713493618324,2026-03-26,994.63,179.03,43032.09,captured,0.00
pay_0176,ord_0175,36833.25,upi,2026-03-11,setl_0267,ICIC713493618324,2026-03-26,2.00,0.36,36830.89,captured,0.00
pay_0178,ord_0177,44888.25,netbanking,2026-03-22,setl_0267,ICIC713493618324,2026-03-26,12.00,2.16,44874.09,captured,0.00
pay_0180,ord_0179,36409.00,card,2026-03-25,setl_0267,ICIC713493618324,2026-03-26,819.20,147.46,35442.34,captured,0.00
pay_0182,ord_0181,38509.99,netbanking,2026-03-29,setl_0269,SBIN024994717464,2026-04-27,12.00,2.16,38495.83,captured,0.00
pay_0184,ord_0183,29477.25,netbanking,2026-03-30,setl_0269,SBIN024994717464,2026-04-27,12.00,2.16,29463.09,captured,0.00
pay_0186,ord_0185,43678.00,card,2026-02-23,setl_0269,SBIN024994717464,2026-04-27,982.76,176.90,42518.34,captured,0.00
pay_0188,ord_0187,41083.50,upi,2026-04-24,setl_0269,SBIN024994717464,2026-04-27,2.00,0.36,41081.14,captured,0.00
pay_0190,ord_0189,15222.25,upi,2026-03-13,setl_0269,SBIN024994717464,2026-04-27,2.00,0.36,15219.89,captured,0.00
pay_0192,ord_0191,31638.99,upi,2026-03-05,setl_0271,KKBK771906594013,2026-04-24,2.00,0.36,31636.63,captured,0.00
pay_0194,ord_0193,38227.25,netbanking,2026-04-23,setl_0271,KKBK771906594013,2026-04-24,12.00,2.16,38213.09,captured,0.00
pay_0196,ord_0195,16489.25,netbanking,2026-03-25,setl_0271,KKBK771906594013,2026-04-24,12.00,2.16,16475.09,captured,0.00
pay_0198,ord_0197,14841.25,netbanking,2026-03-28,setl_0271,KKBK771906594013,2026-04-24,12.00,2.16,14827.09,captured,0.00
pay_0200,ord_0199,37030.25,upi,2026-02-08,setl_0271,KKBK771906594013,2026-04-24,2.00,0.36,37027.89,captured,0.00
pay_0202,ord_0201,44250.99,netbanking,2026-04-02,setl_0273,KKBK049027874296,2026-04-27,12.00,2.16,44236.83,captured,0.00
pay_0204,ord_0203,40650.99,card,2026-03-30,setl_0273,KKBK049027874296,2026-04-27,914.65,164.64,39571.70,captured,0.00
pay_0206,ord_0205,49236.75,card,2026-02-22,setl_0273,KKBK049027874296,2026-04-27,1107.83,199.41,47929.51,captured,0.00
pay_0208,ord_0207,18673.99,card,2026-04-24,setl_0273,KKBK049027874296,2026-04-27,420.16,75.63,18178.20,captured,0.00
pay_0210,ord_0209,5577.50,upi,2026-03-30,setl_0273,KKBK049027874296,2026-04-27,2.00,0.36,5575.14,captured,0.00
pay_0212,ord_0211,35899.00,upi,2026-03-14,setl_0275,SBIN756551256746,2026-03-30,2.00,0.36,35896.64,captured,0.00
pay_0214,ord_0213,45978.25,netbanking,2026-03-23,setl_0275,SBIN756551256746,2026-03-30,12.00,2.16,45964.09,captured,0.00
pay_0216,ord_0215,27212.50,netbanking,2026-03-27,setl_0275,SBIN756551256746,2026-03-30,12.00,2.16,27198.34,captured,0.00
pay_0218,ord_0217,14055.75,card,2026-02-09,setl_0275,SBIN756551256746,2026-03-30,316.25,56.93,13682.57,captured,0.00
pay_0220,ord_0219,38228.75,card,2026-02-04,setl_0275,SBIN756551256746,2026-03-30,860.15,154.83,37213.77,captured,0.00
pay_0222,ord_0221,49879.75,card,2026-03-12,setl_0277,SBIN715451680876,2026-04-13,1122.29,202.01,48555.45,captured,0.00
pay_0224,ord_0223,40034.25,card,2026-04-12,setl_0277,SBIN715451680876,2026-04-13,900.77,162.14,38971.34,captured,0.00
pay_0226,ord_0225,32327.00,card,2026-03-29,setl_0277,SBIN715451680876,2026-04-13,727.36,130.92,31468.72,captured,0.00
pay_0228,ord_0227,47959.25,card,2026-03-25,setl_0277,SBIN715451680876,2026-04-13,1079.08,194.23,46685.94,captured,0.00
pay_0230,ord_0229,2267.75,netbanking,2026-04-11,setl_0277,SBIN715451680876,2026-04-13,12.00,2.16,2253.59,captured,0.00
pay_0232,ord_0231,6001.75,upi,2026-02-05,setl_0279,HDFC859770348247,2026-02-06,0.00,0.00,6001.75,captured,0.00
pay_0282,ord_0281,2391.99,upi,2026-02-17,setl_0297,UTIB875588675339,2026-04-14,2.00,0.36,2389.63,captured,0.00
pay_0284,ord_0283,1396.99,card,2026-04-13,setl_0297,UTIB875588675339,2026-04-14,31.43,5.66,1359.90,captured,0.00
pay_0286,ord_0285,30741.00,netbanking,2026-02-16,setl_0299,HDFC605766270289,2026-03-12,12.00,2.16,30726.84,captured,0.00
pay_0288,ord_0287,33849.50,card,2026-03-11,setl_0299,HDFC605766270289,2026-03-12,761.61,137.09,32950.80,captured,0.00
pay_0290,ord_0289,30435.99,upi,2026-03-05,setl_0301,SBIN718702621745,2026-04-20,2.00,0.36,30433.63,captured,0.00
pay_0292,ord_0291,33808.25,upi,2026-04-19,setl_0301,SBIN718702621745,2026-04-20,2.00,0.36,33805.89,captured,0.00
pay_0294,ord_0293,33775.50,upi,2026-03-17,setl_0303,UTIB158657809134,2026-03-18,2.00,0.36,33773.14,captured,0.00
pay_0296,ord_0295,38965.99,netbanking,2026-03-12,setl_0303,UTIB158657809134,2026-03-18,12.00,2.16,38951.83,captured,0.00
pay_0306,ord_0305,28940.00,netbanking,2026-02-13,setl_0315,HDFC792374740748,2026-02-16,10.00,1.80,21693.20,partial_refund,7235.00
pay_0308,ord_0307,45982.50,upi,2026-02-23,setl_0317,SBIN759464743671,2026-02-24,0.00,0.00,34486.87,partial_refund,11495.63
pay_0310,ord_0309,19726.50,card,2026-02-09,setl_0319,UTIB959440640909,2026-02-10,394.53,71.02,14329.32,partial_refund,4931.63
pay_0312,ord_0311,35310.75,netbanking,2026-03-05,setl_0321,ICIC395339421047,2026-03-06,12.00,2.16,26468.90,partial_refund,8827.69
pay_0314,ord_0313,5675.99,card,2026-02-24,setl_0323,KKBK521456232858,2026-02-25,113.52,20.43,4123.04,partial_refund,1419.00
pay_0326,ord_0325,11283.50,card,2026-03-08,setl_0333,ICIC965137098593,2026-03-18,225.67,40.62,11017.21,captured,0.00
pay_0328,ord_0327,8047.75,upi,2026-03-17,setl_0333,ICIC965137098593,2026-03-18,0.00,0.00,8047.75,captured,0.00
pay_0330,ord_0329,37024.50,upi,2026-03-24,setl_0335,UTIB461200471138,2026-03-25,0.00,0.00,37024.50,captured,0.00
pay_0332,ord_0331,35664.00,card,2026-03-07,setl_0335,UTIB461200471138,2026-03-25,713.28,128.39,34822.33,captured,0.00
pay_0338,ord_0337,30229.50,netbanking,2026-03-23,setl_0343,UTIB735158506431,2026-04-22,12.00,2.16,30215.34,captured,0.00
pay_0340,ord_0339,49145.25,card,2026-04-18,setl_0343,UTIB735158506431,2026-04-22,1105.77,199.04,47840.44,captured,0.00
pay_0342,ord_0341,27246.50,upi,2026-04-21,setl_0343,UTIB735158506431,2026-04-22,2.00,0.36,27244.14,captured,0.00
pay_0347,ord_0346,15769.50,upi,2026-03-01,setl_0350,HDFC900532931839,2026-03-02,2.00,0.36,15767.14,captured,0.00
pay_0349,ord_0348,9982.25,netbanking,2026-03-09,setl_0352,HDFC900532931839,2026-03-10,12.00,2.16,9968.09,captured,0.00
pay_0355,ord_0354,1473.50,upi,2026-02-18,setl_0362,KKBK084700766177,2026-02-19,0.00,0.00,1473.50,captured,0.00
pay_0357,ord_0356,11919.50,upi,2026-02-04,setl_0362,KKBK084700766177,2026-02-19,0.00,0.00,11919.50,captured,0.00
pay_0359,ord_0358,34977.00,netbanking,2026-03-27,setl_0364,ICIC921249985698,2026-04-01,12.00,2.16,34962.84,captured,0.00
pay_0361,ord_0360,24226.99,netbanking,2026-03-31,setl_0364,ICIC921249985698,2026-04-01,12.00,2.16,24212.83,captured,0.00
pay_0367,ord_0366,33631.99,card,2026-04-01,setl_0370,UTIB365766156545,2026-04-02,756.72,136.21,32739.06,captured,0.00
pay_0369,ord_0368,43407.99,netbanking,2026-02-16,setl_0372,UTIB111161528098,2026-02-17,10.00,1.80,43396.19,captured,0.00
pay_0375,ord_0374,27422.50,netbanking,2026-02-17,setl_0378,KKBK832731585149,2026-02-18,10.00,1.80,27410.70,captured,0.00
pay_0377,ord_0376,19350.99,card,2026-02-08,setl_0379,HDFC689980940244,2026-02-09,387.02,69.66,18894.31,captured,0.00
pay_0381,ord_0380,22770.50,card,2026-02-27,setl_0384,HDFC018366752545,2026-03-02,512.34,92.22,22165.94,captured,0.00
pay_0383,ord_0382,9888.99,card,2026-02-27,setl_0384,HDFC018366752545,2026-03-02,222.50,40.05,9626.44,captured,0.00
pay_0387,ord_0386,39574.00,card,2026-02-24,setl_0390,SBIN476797643815,2026-02-27,791.48,142.47,38640.05,captured,0.00
pay_0389,ord_0388,10816.99,card,2026-02-24,setl_0390,SBIN476797643815,2026-02-27,216.34,38.94,10561.71,captured,0.00
