order_id,sku,order_amount,order_date,channel,expected_settlement
ord_0229,SKU-CABLE,2267.75,2026-04-11,marketplace,2253.59
ord_0231,SKU-DOCK,6001.75,2026-02-05,web,6001.75
ord_0281,SKU-MOUSE,2391.99,2026-02-17,app,2389.63
ord_0283,SKU-KEYBOARD,1396.99,2026-04-13,web,1359.90
ord_0285,SKU-MOUSE,30741.00,2026-02-16,app,30726.84
ord_0287,SKU-DOCK,33849.50,2026-03-11,app,32950.80
ord_0289,SKU-DOCK,30435.99,2026-03-05,web,30433.63
ord_0291,SKU-MONITOR,33808.25,2026-04-19,app,33805.89
ord_0293,SKU-MONITOR,33775.50,2026-03-17,marketplace,33773.14
ord_0295,SKU-DOCK,38965.99,2026-03-12,web,38951.83
ord_0305,SKU-KEYBOARD,28940.00,2026-02-13,app,21693.20
ord_0307,SKU-KEYBOARD,45982.50,2026-02-23,app,34486.87
ord_0309,SKU-DOCK,19726.50,2026-02-09,web,14329.32
ord_0311,SKU-MOUSE,35310.75,2026-03-05,web,26468.90
ord_0313,SKU-CABLE,5675.99,2026-02-24,marketplace,4123.04
ord_0325,SKU-MONITOR,11283.50,2026-03-08,marketplace,10983.92
ord_0327,SKU-MOUSE,8047.75,2026-03-17,web,8045.39
ord_0329,SKU-DOCK,37024.50,2026-03-24,web,37022.14
ord_0331,SKU-MONITOR,35664.00,2026-03-07,marketplace,34717.12
ord_0337,SKU-CABLE,30229.50,2026-03-23,app,30215.34
ord_0339,SKU-KEYBOARD,49145.25,2026-04-18,app,47840.44
ord_0341,SKU-MONITOR,27246.50,2026-04-21,web,27244.14
ord_0346,SKU-CABLE,15769.50,2026-03-01,web,15767.14
ord_0348,SKU-MONITOR,9982.25,2026-03-09,web,9968.09
ord_0354,SKU-CABLE,1473.50,2026-02-18,app,1473.50
ord_0356,SKU-MOUSE,11919.50,2026-02-04,marketplace,11919.50
ord_0358,SKU-KEYBOARD,34977.00,2026-03-27,app,34962.84
ord_0360,SKU-KEYBOARD,24226.99,2026-03-31,app,24212.83
ord_0366,SKU-KEYBOARD,40177.75,2026-04-07,marketplace,40175.39
ord_0368,SKU-DOCK,47740.25,2026-04-13,web,46472.74
ord_0374,SKU-KEYBOARD,23673.75,2026-03-26,app,23659.59
ord_0376,SKU-CABLE,20976.50,2026-04-19,marketplace,20974.14
ord_0380,SKU-MOUSE,900.25,2026-02-27,marketplace,876.34
ord_0382,SKU-KEYBOARD,43579.75,2026-02-27,web,42422.71
ord_0386,SKU-MOUSE,6067.00,2026-02-24,web,5923.82
ord_0388,SKU-KEYBOARD,49942.99,2026-02-24,marketplace,48764.34
